;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65
38;4,83e-09;4,39e-08;2,81e-09;2,95e-10;1,22e-10;2,33e-11;1,54e-10;1,75e-10;1,34e-10;1,75e-10;9,97e-11;1,14e-09;3,51e-10;4,38e-10;6,84e-10;8e-09;5,63e-08;2,19e-07;5,48e-09;7,51e-10;2,51e-10;1,69e-10;1,73e-10;1,29e-10;1,59e-11;1,38e-10;1,57e-10;7,22e-09;1,02e-09;6,65e-10;1,66e-10;7,79e-09;1,01e-09;2,12e-10;1,19e-10;1,53e-10;2,58e-10;7,21e-11;1,74e-10;6,89e-11;7,32e-11;9,54e-12;1,63e-10;8,98e-09;1,3e-09;1,51e-10;2,11e-10;2,41e-10;9,33e-11;1,6e-10;-8,48e-12;1,02e-10;6,57e-11;-3,92e-11;9,44e-11;2,59e-10;-3,92e-11;4,14e-11;1,63e-10;2,15e-10;1,87e-10;-3,5e-11;1,06e-11;9,76e-11;2,45e-10
39;4,77e-09;4,31e-08;2,77e-09;4,13e-10;-1,09e-10;-3,18e-12;-6,04e-11;2,86e-11;-2,11e-10;1,8e-11;-5,51e-11;1,1e-09;1,72e-10;1,45e-10;5,73e-10;7,67e-09;5,62e-08;2,16e-07;5,37e-09;5,76e-10;2,75e-10;1,02e-10;6,26e-11;1,38e-11;-1,48e-11;1,89e-10;2,78e-10;6,84e-09;9,84e-10;8,71e-10;2,79e-10;7,42e-09;8,01e-10;1,96e-10;2,14e-10;-9,54e-11;1,06e-12;2,1e-10;-3,61e-11;7,42e-11;1,21e-10;3,92e-11;2,18e-10;8,89e-09;9,01e-10;1,06e-11;-3,92e-11;6,89e-11;1,26e-10;-1,81e-10;-1,5e-10;2,44e-11;-1,62e-10;-3,18e-11;-5,51e-11;-3,08e-11;4,77e-11;-1,06e-12;9,65e-11;9,65e-11;6,79e-11;5,09e-11;2,76e-11;2,86e-11;6,57e-11
40;5,21e-09;4,3e-08;3,06e-09;3,67e-10;6,89e-11;2,3e-10;1,66e-10;2,86e-11;1,6e-10;-2,01e-11;9,44e-11;1,09e-09;1,74e-10;5,33e-10;6,3e-10;7,83e-09;5,58e-08;2,17e-07;5,58e-09;7,27e-10;4,21e-10;2,14e-10;5,73e-11;7,42e-11;-2,55e-11;3,82e-11;6,04e-11;6,51e-09;8,12e-10;8,08e-10;2,58e-10;7,35e-09;8,57e-10;1,16e-10;9,23e-11;2,33e-11;6,57e-11;5,62e-11;7,21e-11;9,54e-11;-5,2e-11;1,91e-11;2,16e-10;9,08e-09;1,09e-09;1,76e-10;1,38e-10;1,13e-10;1,75e-10;7,42e-12;1,19e-10;1,35e-10;7,21e-11;1,7e-11;-1,48e-11;9,01e-11;1,26e-10;4,98e-11;5,09e-11;9,54e-11;2,08e-10;1,25e-10;1,52e-10;6,26e-11;-1,26e-10
41;5,65e-09;4,31e-08;3,09e-09;3,34e-10;1,96e-10;-6,36e-12;3,61e-11;1,03e-10;9,97e-11;6,15e-11;1,82e-10;1,23e-09;2,05e-10;3,38e-10;4,29e-10;7,89e-09;5,49e-08;2,14e-07;5,49e-09;7,27e-10;2,57e-10;2,62e-10;4,29e-10;2,84e-10;7e-11;2,38e-10;1,96e-10;6,82e-09;7,22e-10;6,81e-10;3,92e-11;7,29e-09;9,47e-10;1,93e-10;3,18e-12;-1,5e-10;-6,36e-12;1,36e-10;-1,38e-11;-8,38e-11;9,54e-11;5,3e-11;6,68e-11;8,8e-09;1,09e-09;1,08e-10;1,16e-10;-3,29e-11;5,3e-12;-2,33e-11;1,25e-10;-3,29e-11;4,98e-11;3,61e-11;2,45e-10;-3,5e-11;-8,38e-11;1,06e-12;2,01e-11;6,04e-11;3,39e-11;7,1e-11;-8,27e-11;2,04e-10;1,39e-10
42;5,68e-09;4,28e-08;2,94e-09;3,18e-10;2,38e-10;1,6e-10;3,56e-10;4,56e-11;9,86e-11;3,61e-11;1,37e-10;8,62e-10;4,29e-10;3,52e-10;5,72e-10;7,56e-09;5,49e-08;2,13e-07;5,41e-09;1,15e-09;4,32e-10;3,16e-10;2,51e-10;9,86e-11;1,04e-10;1,82e-10;2,21e-10;6,57e-09;1e-09;6,18e-10;1,11e-10;7,76e-09;8,1e-10;6,04e-11;1,38e-11;9,23e-11;9,23e-11;-7,42e-12;-4,67e-11;-4,56e-11;1,66e-10;1,52e-10;1,23e-10;8,71e-09;1,18e-09;2,94e-10;9,01e-11;1,16e-10;-6,36e-12;1,36e-10;-2,23e-11;1,66e-10;2,23e-11;-2,01e-11;1,46e-10;-1,27e-11;1,1e-10;1,79e-10;1,58e-10;1,21e-10;8,48e-11;1,62e-10;1,95e-10;1,57e-10;1,2e-10
43;5,52e-09;4,17e-08;3,36e-09;5,17e-10;3,01e-10;2,11e-10;1,62e-10;9,76e-11;2,88e-10;8,8e-11;2,97e-10;1,06e-09;4,05e-10;6,72e-10;5,31e-10;7,91e-09;5,37e-08;2,12e-07;5,81e-09;8,8e-10;5,43e-10;3,44e-10;2,78e-10;1,22e-10;5,83e-11;1,28e-10;1,94e-10;6,62e-09;8,36e-10;6,31e-10;1,77e-10;7,39e-09;7,95e-10;1,2e-10;3,93e-10;1,68e-10;1,44e-10;5,83e-11;2,11e-10;3,36e-10;2,33e-10;1,42e-10;3,11e-10;8,77e-09;1,07e-09;2,9e-10;3,33e-10;7,64e-11;1,36e-10;1,86e-10;1,36e-10;1,91e-10;1,83e-10;2,39e-10;1,23e-10;1,18e-10;1,55e-10;3,29e-11;1,59e-10;2,5e-10;1,98e-10;-3,71e-11;8,91e-11;6,47e-11;1,86e-10
44;5,43e-09;4,15e-08;2,85e-09;3,61e-10;1,63e-10;8,8e-11;5,41e-11;1,31e-10;1,23e-10;9,44e-11;1,09e-10;9,37e-10;7,95e-11;5,29e-10;4,85e-10;7,57e-09;5,35e-08;2,09e-07;5,97e-09;9,43e-10;4,01e-10;3,46e-10;2,01e-10;-7,42e-12;-9,01e-11;2,58e-10;1,39e-10;6,25e-09;6,61e-10;5,92e-10;1,42e-10;7,18e-09;7,59e-10;1,8e-10;1,25e-10;1,99e-10;-9,33e-11;6,47e-11;3,18e-11;3,82e-11;-6,57e-11;4,67e-11;3,5e-11;8,21e-09;8,58e-10;1,17e-10;-9,76e-11;-1,71e-10;-5,73e-11;-1,38e-11;-4,56e-11;-4,45e-11;3,29e-11;7,32e-11;5,94e-11;3,18e-11;1,89e-10;1,25e-10;1,27e-10;1,68e-10;1,61e-10;2,24e-10;1,87e-10;3,82e-11;-3,08e-11
45;4,9e-09;4,16e-08;2,98e-09;2,6e-10;1,88e-10;2,28e-10;1,2e-10;5,51e-11;6,47e-11;8,17e-11;1,88e-10;8,35e-10;2,74e-10;3,87e-10;3,27e-10;7,53e-09;5,25e-08;2,08e-07;5,77e-09;7,84e-10;2,47e-10;3,97e-10;8,8e-11;1,62e-10;9,97e-11;1,33e-10;1,44e-10;6,2e-09;7,42e-10;7,76e-10;1,27e-11;7,48e-09;9,01e-10;1,22e-10;1,3e-10;-7,74e-11;-9,76e-11;-4,24e-12;2,42e-10;1,37e-10;8,59e-11;5,41e-11;2,08e-10;8,48e-09;1,1e-09;2,4e-10;6,89e-11;5,41e-11;-4,67e-11;-1,11e-10;7e-11;-5,83e-11;5,83e-11;-8,7e-11;-6,79e-11;-4,56e-11;1,52e-10;7,53e-11;7,1e-11;-6,47e-11;3,61e-11;4,03e-11;-6,79e-11;-4,88e-11;-3,61e-11
46;5,2e-09;4,15e-08;2,81e-09;3,09e-10;2,92e-10;0,0;-2,23e-11;1,17e-10;2,32e-10;1,07e-10;3,71e-11;9,38e-10;3,49e-10;3,37e-10;3,63e-10;7,25e-09;5,25e-08;2,08e-07;5,53e-09;9,25e-10;4,18e-10;2,53e-10;1,53e-10;1,47e-10;1,65e-10;1,45e-10;3,35e-10;6,23e-09;8,73e-10;6,2e-10;2,09e-10;7,58e-09;1,08e-09;1,13e-10;1,05e-10;1,23e-10;2,81e-10;-1,2e-10;2,6e-10;1,64e-10;2,2e-10;1,23e-10;1,42e-10;8,32e-09;1,16e-09;1,18e-10;1,45e-10;-8,48e-12;1,1e-10;-6,26e-11;1,3e-10;5,83e-11;1,2e-10;-2,12e-12;-8,48e-12;1,79e-10;6,15e-11;2,23e-10;8,48e-12;1,3e-10;1,16e-10;2,12e-11;5,83e-11;6,36e-12;3,18e-12
47;4,85e-09;4,14e-08;3,26e-09;1,82e-10;2,27e-10;3,13e-10;4,03e-11;3,76e-10;1,21e-10;1,46e-10;1,39e-10;9,52e-10;1,53e-10;5,86e-10;4,59e-10;7,38e-09;5,18e-08;2,06e-07;5,89e-09;8,98e-10;3,76e-10;3,71e-10;3,4e-10;2,68e-10;1,34e-10;3,91e-10;2,87e-10;6,14e-09;9e-10;8,27e-10;2,91e-10;7,33e-09;1,09e-09;3,26e-10;3,22e-10;2,63e-10;1,46e-10;1,16e-10;2,21e-10;2,91e-10;1,35e-10;2,75e-10;2,42e-10;8,33e-09;1,14e-09;3,29e-10;1,37e-10;2,17e-10;2,39e-10;3,33e-10;1,7e-10;7,85e-11;1,9e-10;3,02e-10;1,98e-10;7,85e-11;9,76e-11;1,64e-10;1,28e-10;1,58e-10;2,4e-10;1,37e-10;1,83e-10;1,44e-10;2,29e-10
