;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65
19;3,58E-10;3,95E-09;6,39E-10;1,26E-10;6,15E-11;-9,01E-11;-6,26E-11;-1,01E-10;-1,36E-10;-1,91E-11;5,51E-11;3,28E-10;1,19E-10;5,62E-11;5,51E-11;1,34E-09;5,47E-09;2,16E-08;1,89E-09;1,27E-10;1,05E-10;-3,39E-11;-2,65E-11;-3,71E-11;-1,04E-10;7,00E-11;-8,38E-11;1,40E-09;3,71E-10;2,35E-10;-1,50E-10;2,80E-09;2,48E-10;-7,42E-11;-5,51E-11;-1,33E-10;8,91E-11;-1,30E-10;-1,46E-10;3,61E-11;4,56E-11;-1,10E-10;8,59E-11;3,18E-09;3,21E-10;-4,14E-11;-3,29E-11;-1,17E-10;4,98E-11;-3,08E-11;5,73E-11;1,27E-11;8,17E-11;7,64E-11;8,48E-12;4,88E-11;-1,12E-10;2,14E-10;-8,48E-12;1,06E-11;1,26E-10;2,65E-11;-1,08E-10;4,98E-11;1,69E-10
20;6,46E-10;4,25E-09;6,91E-10;1,05E-10;1,04E-10;7,95E-11;3,08E-10;-4,67E-11;2,20E-10;1,57E-10;1,45E-10;2,60E-10;1,35E-10;1,72E-10;9,12E-11;1,30E-09;5,77E-09;2,14E-08;1,94E-09;2,95E-10;1,40E-10;2,29E-10;7,64E-11;3,28E-10;1,17E-10;7,42E-12;-1,91E-11;1,62E-09;1,85E-10;2,10E-10;6,36E-11;2,92E-09;4,13E-10;-2,23E-11;-9,33E-11;1,36E-10;-4,67E-11;-7,64E-11;-4,03E-11;6,79E-11;6,15E-11;2,12E-11;-3,71E-11;2,87E-09;2,60E-10;5,62E-11;9,33E-11;9,65E-11;-4,88E-11;4,45E-11;4,14E-11;-7,42E-12;9,65E-11;-4,35E-11;1,27E-10;-6,36E-12;8,06E-11;2,20E-10;6,89E-11;6,47E-11;6,26E-11;2,86E-11;4,24E-12;-1,91E-11;2,20E-10
21;6,59E-10;4,12E-09;6,34E-10;2,13E-10;1,31E-10;5,83E-11;1,21E-10;9,97E-11;9,97E-11;1,15E-10;1,38E-10;2,30E-10;1,41E-10;1,37E-10;-1,34E-10;1,47E-09;5,72E-09;2,15E-08;2,04E-09;3,32E-10;6,68E-11;8,91E-11;4,35E-11;1,29E-10;1,66E-10;5,51E-11;3,71E-11;1,40E-09;4,06E-10;3,22E-10;1,35E-10;2,86E-09;4,75E-10;1,62E-10;5,20E-11;1,25E-10;8,91E-11;1,10E-10;6,57E-11;2,55E-11;2,23E-11;9,23E-11;6,89E-11;2,99E-09;5,59E-10;7,74E-11;8,80E-11;2,12E-11;-1,12E-10;9,76E-11;4,45E-11;2,97E-11;8,70E-11;-2,01E-11;1,70E-11;1,48E-10;-3,29E-11;2,33E-11;3,18E-12;1,74E-10;1,69E-10;2,22E-10;1,29E-10;5,94E-11;1,46E-10
22;5,26E-10;4,27E-09;7,29E-10;1,58E-10;9,97E-11;1,51E-10;1,27E-10;2,66E-10;1,51E-10;2,99E-10;1,55E-10;4,43E-10;1,09E-10;1,04E-10;6,68E-11;1,31E-09;5,63E-09;2,12E-08;1,86E-09;3,89E-10;2,53E-10;1,46E-10;7,21E-11;2,76E-11;2,69E-10;1,58E-10;3,50E-11;1,45E-09;2,44E-10;4,34E-10;2,05E-10;2,99E-09;2,84E-10;9,97E-11;1,51E-10;1,72E-10;5,62E-11;1,62E-10;2,97E-11;1,26E-10;2,68E-10;1,42E-10;5,30E-11;2,97E-09;4,74E-10;1,96E-10;2,01E-10;1,36E-10;3,71E-11;2,81E-10;1,70E-11;-2,12E-12;2,29E-10;7,00E-11;1,31E-10;1,88E-10;2,14E-10;3,29E-11;3,18E-11;1,35E-10;2,32E-10;1,83E-10;2,73E-10;2,97E-10;2,04E-10
23;5,54E-10;4,16E-09;2,66E-10;1,45E-10;8,38E-11;-2,12E-11;1,61E-10;2,01E-10;1,07E-10;-7,74E-11;6,79E-11;4,03E-10;1,35E-10;1,58E-10;1,65E-10;1,42E-09;5,43E-09;2,13E-08;1,75E-09;1,17E-10;1,25E-10;-3,92E-11;1,81E-10;-3,92E-11;-1,10E-10;4,24E-11;-4,98E-11;1,38E-09;2,64E-10;3,26E-10;1,98E-10;2,69E-09;4,44E-10;-4,45E-11;8,48E-11;-9,12E-11;-8,91E-11;3,92E-11;-8,48E-12;-3,82E-11;-2,86E-11;1,92E-10;8,91E-11;2,87E-09;4,07E-10;8,80E-11;7,42E-12;-1,59E-11;2,65E-11;2,03E-10;6,36E-12;3,50E-11;1,72E-10;1,27E-11;7,42E-11;7,10E-11;7,00E-11;1,92E-10;1,48E-11;7,32E-11;8,38E-11;-1,06E-11;2,08E-10;1,02E-10;2,97E-11
24;1,04E-10;4,09E-09;5,54E-10;2,29E-10;8,06E-11;9,44E-11;6,04E-11;1,72E-10;-2,01E-11;1,66E-10;1,90E-10;3,54E-10;1,89E-10;1,61E-10;1,93E-10;1,24E-09;5,64E-09;2,12E-08;1,96E-09;2,22E-10;9,23E-11;1,61E-10;1,91E-11;1,02E-10;-2,23E-11;7,95E-11;1,59E-11;1,19E-09;2,16E-10;3,96E-10;1,60E-10;2,65E-09;4,37E-10;1,31E-10;8,91E-11;2,32E-10;2,24E-10;-8,70E-11;-1,24E-10;-1,01E-10;1,57E-10;1,97E-10;6,68E-11;2,80E-09;3,75E-10;-1,16E-10;-4,56E-11;5,73E-11;1,42E-10;2,23E-11;1,05E-10;1,69E-10;8,17E-11;5,41E-11;2,32E-10;1,52E-10;9,97E-11;9,01E-11;7,10E-11;1,10E-10;-2,55E-11;-5,62E-11;-3,92E-11;4,37E-10;1,76E-10
25;4,74E-10;4,01E-09;7,08E-10;1,72E-10;1,26E-10;1,48E-10;2,00E-10;2,04E-10;2,67E-10;1,97E-10;1,80E-10;4,36E-10;1,75E-10;2,94E-10;3,63E-10;1,45E-09;5,38E-09;2,13E-08;1,93E-09;4,05E-10;2,06E-10;9,65E-11;2,73E-10;2,31E-10;1,89E-10;2,18E-10;2,13E-10;1,53E-09;2,73E-10;2,74E-10;1,52E-10;2,92E-09;3,73E-10;2,45E-10;1,13E-10;1,46E-10;2,25E-10;1,81E-10;3,20E-10;1,01E-10;3,14E-10;3,94E-10;1,70E-10;2,62E-09;4,35E-10;1,74E-10;2,07E-10;2,44E-10;3,02E-10;3,17E-10;1,96E-10;1,62E-10;2,32E-10;2,23E-10;1,50E-10;1,64E-10;2,29E-10;1,24E-10;1,37E-10;1,07E-10;1,56E-10;2,25E-10;2,85E-10;2,59E-10;2,59E-10
26;4,52E-10;3,92E-09;6,06E-10;1,17E-11;8,06E-11;3,82E-11;-3,39E-11;-4,67E-11;-1,24E-10;4,24E-11;-1,37E-10;3,75E-10;-1,80E-11;3,08E-11;7,95E-11;1,12E-09;5,26E-09;2,04E-08;1,83E-09;1,30E-10;1,47E-10;-2,65E-11;1,80E-11;1,08E-10;9,01E-11;4,24E-12;-1,16E-10;1,42E-09;2,14E-10;1,58E-10;1,59E-11;2,56E-09;3,40E-10;1,06E-12;7,00E-11;8,48E-11;1,02E-10;-2,97E-11;6,36E-11;1,98E-10;5,20E-11;-2,44E-11;3,71E-11;2,66E-09;2,18E-10;1,11E-10;-4,24E-11;-1,06E-11;-4,45E-11;9,54E-11;1,03E-10;1,69E-10;9,33E-11;6,36E-12;-4,14E-11;1,56E-10;-2,55E-11;-1,03E-10;2,86E-11;6,68E-11;9,44E-11;-4,03E-11;1,17E-10;1,46E-10;2,44E-11
27;4,59E-10;4,13E-09;6,77E-10;2,33E-11;1,29E-10;4,14E-11;2,45E-10;9,86E-11;4,14E-11;2,86E-11;3,50E-11;2,45E-10;1,07E-10;3,61E-11;1,04E-10;1,23E-09;5,31E-09;2,03E-08;1,65E-09;2,13E-10;1,06E-10;-1,70E-11;2,65E-11;2,33E-11;1,54E-10;-8,70E-11;2,74E-10;1,45E-09;2,05E-10;2,92E-10;-7,53E-11;2,78E-09;3,24E-10;1,09E-10;-2,65E-11;-1,50E-10;-2,65E-11;9,97E-11;6,15E-11;1,01E-10;4,03E-11;7,21E-11;9,44E-11;2,63E-09;4,55E-10;2,16E-10;7,85E-11;3,18E-12;2,25E-10;9,12E-11;1,02E-10;1,10E-10;5,73E-11;5,73E-11;1,06E-10;2,23E-11;-5,20E-11;2,55E-10;1,78E-10;2,12E-10;9,86E-11;4,77E-11;3,08E-11;-3,18E-12;9,54E-11
28;2,76E-10;4,07E-09;4,35E-10;-5,20E-11;-5,62E-11;-1,22E-10;-1,65E-10;-1,28E-10;-7,32E-11;-2,35E-10;-1,24E-10;1,92E-10;-7,42E-11;1,27E-11;-5,09E-11;1,15E-09;5,39E-09;2,01E-08;1,80E-09;1,54E-10;-2,55E-11;6,57E-11;-1,16E-10;-1,57E-10;-1,76E-10;1,80E-11;-7,74E-11;1,18E-09;1,34E-10;4,14E-11;-2,43E-10;2,53E-09;8,91E-11;-9,97E-11;-8,17E-11;-2,66E-10;-1,19E-10;-1,06E-10;-1,48E-10;-2,65E-10;-2,38E-10;-2,27E-10;-2,01E-10;2,48E-09;3,21E-10;-1,17E-10;-2,32E-10;-1,42E-10;-3,58E-10;-3,43E-10;-2,48E-10;-2,35E-10;-1,52E-10;-1,89E-10;-1,99E-10;-2,35E-10;-3,21E-10;-1,96E-10;-2,79E-10;-1,91E-10;-2,16E-10;-1,47E-10;-7,21E-11;-2,94E-10;-3,08E-11
